# key	mode	section	description	tags
sa	N/V	Editing	Add a surrounding pair	mini surround add bracket quote
sd	N	Editing	Delete a surrounding pair	mini surround delete bracket quote
sr	N	Editing	Replace a surrounding pair	mini surround replace bracket quote
mI / mA	V	Editing	Create cursors on selected lines and insert or append	multicursor multiple cursor insert append
<leader>ut	N	Editing	Toggle the undo tree	undo tree history
<A-z>	N	Display	Toggle line wrapping	wrap line toggle
<leader>z	N	Display	Toggle Zen mode	zen focus
<leader>Z	N	Display	Toggle window zoom	zoom window maximize
<leader>tl	N	Display	Toggle line numbers	line number toggle
<leader>tL	N	Display	Toggle relative line numbers	relative line number toggle
<leader>tw	N	Display	Toggle line wrapping	wrap line toggle
<leader>tb	N	Display	Toggle Neovim palette between Latte and Mocha	catppuccin neovim theme light dark background
<leader>ts	N	Display	Toggle spell checking	spell spelling toggle
<leader>td	N	Display	Toggle diagnostics	diagnostic toggle
<leader>th	N	Display	Toggle LSP inlay hints	lsp hint toggle
<leader>tg	N	Display	Toggle indent guides	indent guide toggle
<leader>to	N	Display	Toggle the inline Git diff overlay	git diff overlay toggle
K	N	Code	Show hover documentation, or preview a folded line	lsp hover documentation fold core
gd	N	Code	Go to definition	lsp definition goto jump core
gD	N	Code	Go to declaration	lsp declaration goto jump
gr	N	Code	Find references; fall back to a text search when unsupported	lsp references usage grep fallback core
gI	N	Code	Go to implementation	lsp implementation goto jump
gy	N	Code	Go to type definition	lsp type definition goto jump
<leader>ci	N	Code	Find functions that call the symbol under the cursor	lsp call hierarchy incoming caller
<leader>co	N	Code	Find functions called by the symbol under the cursor	lsp call hierarchy outgoing callee
<leader>ss	N	Code	Search LSP or Tree-sitter symbols in the current file	lsp treesitter symbol structure outline core
<leader>sS	N	Code	Search LSP symbols in the workspace	lsp workspace symbol structure
<leader>d	N	Code	Show details for the current diagnostic	lsp diagnostic error float core
<A-j> / <A-k>	N	Code	Go to the next or previous diagnostic	lsp diagnostic next previous error
<leader>ca	N/V	Code	Show code actions for the cursor or selection	lsp code action fix refactor
<leader>cr	N	Code	Rename a symbol with LSP	lsp rename refactor
<leader>cc	N	Code	Run the CodeLens action on the current line	lsp codelens action
<leader>ch	N	Code	Switch between a C/C++ source file and its header	clangd c cpp source header switch
<leader>gk	N	Code	Show function signature help	lsp signature parameters
<leader>gd	N	Code	Toggle diagnostics for the current file	trouble diagnostic list
<leader>gs	N	Code	Toggle the symbol tree	trouble symbols structure outline
<leader>gl	N	Code	Toggle the definitions and references panel	trouble lsp definition reference
[[ / ]]	N/T	Code	Go to the previous or next reference	word reference previous next
zM / zR	N	Folds	Close or open all folds	fold close open all
zm / zr	N	Folds	Increase or decrease the fold level	fold more less level
zS	N	Folds	Set the fold level with a count, for example 2zS	fold set level
<A-j> / <A-k>	I	Completion	Select the next or previous completion item	completion select next previous
<C-n> / <C-p>	I	Completion	Select the next or previous completion item	completion select next previous
<Tab> / <CR>	I	Completion	Accept the selected completion item	completion accept enter core
<S-CR>	I	Completion	Ignore completion and insert a newline	completion newline hide
<C-u> / <C-d>	I	Completion	Scroll completion documentation up or down	completion documentation scroll
<A-/>	I/C	Completion	Show or hide the completion menu	completion menu toggle
<C-g>	N	Git	Toggle LazyGit	git lazygit core
]h / [h	N	Git	Go to the next or previous hunk	git hunk next previous core
]H / [H	N	Git	Go to the last or first hunk	git hunk last first
<leader>ggp	N	Git	Preview the current hunk	git hunk preview
<leader>ggP	N	Git	Preview the current hunk inline	git hunk preview inline
<leader>ggs	N/V	Git	Stage the current hunk	git hunk stage
<leader>ggr	N/V	Git	Reset the current hunk	git hunk reset
<leader>ggS	N	Git	Stage the entire buffer	git stage buffer
<leader>ggR	N	Git	Reset the entire buffer	git reset buffer
<leader>ggl	N	Git	Search the Git log	git log history
<leader>ggd	N	Git	View the Git diff	git diff
<leader>ggb	N	Git	Show blame for the current line	git blame line
<leader>ggB	N	Git	Open the current Git location in a browser	git browse browser
<leader>tgb	N	Git	Toggle blame for the current line	git blame toggle
<leader>tgw	N	Git	Toggle word-level diff	git word diff toggle
<F5>	N	Debugging	Start or continue debugging	debug dap continue core
<F6>	N	Debugging	Step over	debug dap step over
<F7>	N	Debugging	Step into	debug dap step into
<F8>	N	Debugging	Step out	debug dap step out
<F9>	N	Debugging	Pause debugging	debug dap pause
<F10>	N	Debugging	Terminate debugging	debug dap terminate stop
<leader>b	N	Debugging	Toggle a breakpoint	debug dap breakpoint toggle
<leader>B	N	Debugging	Set a conditional breakpoint	debug dap breakpoint condition
<leader>Du	N	Debugging	Toggle the debugging interface	debug dap view ui
<leader>Dr	N	Debugging	Open the debug REPL	debug dap repl
<leader>Dl	N	Debugging	Run the previous debug configuration again	debug dap run last
<leader>Dd	N/V	Debugging	Inspect a value in a floating window	debug dap hover value
<leader>Df	N	Debugging	Show stack frames in a floating window	debug dap frames stack
<leader>Ds	N	Debugging	Show scoped variables in a floating window	debug dap scopes variables
<leader>ps	N	Sessions	Restore the session for the current directory	session restore workspace core
<leader>pS	N	Sessions	Search saved sessions	session search workspace
<leader>pD	N	Sessions	Delete the current session	session delete workspace
<leader>n	N	Tools	Show notification history	notification history
<leader>un	N	Tools	Dismiss all notifications	notification dismiss clear
<leader>N	N	Tools	Show Noice message history	message noice history
<leader>?	N	Tools	Show key mappings for the current buffer	which key keymap shortcut help core
<leader>L	N	Tools	Open the Lazy plugin manager	lazy plugin manager
<leader>cv	N	Python	Select a Python virtual environment	python virtualenv venv select
